1,"['Travel to/from work', 'Travel to/from work', 'Travel to/from work', 'Other Travel/ No recorded activity', 'Other Travel/ No recorded activity']"
2,"['Travel to/from work', 'Travel to/from work']"
5,"['Other Travel/ No recorded activity', 'Other Travel/ No recorded activity']"
7,"['Child/adult care travel', 'Other Travel/ No recorded activity']"
9,"['Shop, person/hhld care travel', 'Shop, person/hhld care travel', 'Shop, person/hhld care travel', 'Shop, person/hhld care travel', 'Shop, person/hhld care travel', 'Shop, person/hhld care travel', 'Other Travel/ No recorded activity', 'Other Travel/ No recorded activity', 'Other Travel/ No recorded activity', 'Other Travel/ No recorded activity', 'Other Travel/ No recorded activity']"
10,"['Other Travel/ No recorded activity', 'Other Travel/ No recorded activity']"
11,"['Other Travel/ No recorded activity', 'Other Travel/ No recorded activity', 'Shop, person/hhld care travel', 'Shop, person/hhld care travel']"
12,"['Other Travel/ No recorded activity', 'Other Travel/ No recorded activity']"
13,"['Other Travel/ No recorded activity', 'Other Travel/ No recorded activity', 'Other Travel/ No recorded activity']"
14,"['Other Travel/ No recorded activity', 'Other Travel/ No recorded activity', 'Other Travel/ No recorded activity', 'Child/adult care travel', 'Child/adult care travel']"
15,"['Shop, person/hhld care travel', 'Other Travel/ No recorded activity', 'Other Travel/ No recorded activity', 'Other Travel/ No recorded activity']"
16,"['Shop, person/hhld care travel', 'Shop, person/hhld care travel']"
17,"['Child/adult care travel', 'Travel to/from work', 'Travel to/from work', 'Travel to/from work', 'Travel to/from work']"
18,"['Travel to/from work', 'Travel to/from work', 'Travel to/from work', 'Child/adult care travel', 'Travel to/from work']"
21,"['Other Travel/ No recorded activity', 'Other Travel/ No recorded activity', 'Other Travel/ No recorded activity']"
22,"['Other Travel/ No recorded activity', 'Other Travel/ No recorded activity', 'Other Travel/ No recorded activity']"
23,"['Travel to/from work', 'Travel to/from work']"
25,"['Other Travel/ No recorded activity', 'Shop, person/hhld care travel', 'Shop, person/hhld care travel']"
27,"['Other Travel/ No recorded activity', 'Shop, person/hhld care travel']"
29,['Other Travel/ No recorded activity']
30,['Other Travel/ No recorded activity']
31,['Other Travel/ No recorded activity']
32,"['Other Travel/ No recorded activity', 'Other Travel/ No recorded activity', 'Other Travel/ No recorded activity', 'Other Travel/ No recorded activity', 'Other Travel/ No recorded activity']"
33,"['Travel to/from work', 'Travel to/from work', 'Travel to/from work']"
34,"['Other Travel/ No recorded activity', 'Other Travel/ No recorded activity', 'Other Travel/ No recorded activity', 'Other Travel/ No recorded activity']"
37,"['Shop, person/hhld care travel', 'Shop, person/hhld care travel']"
38,"['Other Travel/ No recorded activity', 'Child/adult care travel']"
39,"['Other Travel/ No recorded activity', 'Other Travel/ No recorded activity']"
41,"['Other Travel/ No recorded activity', 'Other Travel/ No recorded activity']"
42,"['Travel to/from work', 'Travel to/from work']"
43,"['Child/adult care travel', 'Child/adult care travel', 'Travel to/from work', 'Child/adult care travel', 'Child/adult care travel', 'Other Travel/ No recorded activity']"
44,"['Other Travel/ No recorded activity', 'Other Travel/ No recorded activity', 'Other Travel/ No recorded activity']"
45,['Travel to/from work']
46,['Other Travel/ No recorded activity']
51,"['Child/adult care travel', 'Other Travel/ No recorded activity', 'Other Travel/ No recorded activity']"
52,"['Travel to/from work', 'Travel to/from work']"
53,['Other Travel/ No recorded activity']
54,"['Travel to/from work', 'Travel to/from work', 'Other Travel/ No recorded activity']"
55,"['Other Travel/ No recorded activity', 'Child/adult care travel']"
57,"['Other Travel/ No recorded activity', 'Other Travel/ No recorded activity']"
58,"['Other Travel/ No recorded activity', 'Other Travel/ No recorded activity']"
61,"['Other Travel/ No recorded activity', 'Other Travel/ No recorded activity', 'Other Travel/ No recorded activity', 'Other Travel/ No recorded activity', 'Other Travel/ No recorded activity', 'Other Travel/ No recorded activity', 'Other Travel/ No recorded activity', 'Other Travel/ No recorded activity']"
62,"['Other Travel/ No recorded activity', 'Other Travel/ No recorded activity', 'Other Travel/ No recorded activity']"
63,"['Other Travel/ No recorded activity', 'Other Travel/ No recorded activity']"
65,"['Child/adult care travel', 'Child/adult care travel', 'Child/adult care travel', 'Child/adult care travel', 'Child/adult care travel']"
66,"['Child/adult care travel', 'Child/adult care travel', 'Child/adult care travel', 'Child/adult care travel']"
67,"['Travel to/from work', 'Travel to/from work']"
68,['Other Travel/ No recorded activity']
69,"['Shop, person/hhld care travel', 'Other Travel/ No recorded activity', 'Child/adult care travel']"
70,"['Shop, person/hhld care travel', 'Child/adult care travel']"
71,"['Other Travel/ No recorded activity', 'Shop, person/hhld care travel', 'Other Travel/ No recorded activity']"
72,"['Shop, person/hhld care travel', 'Other Travel/ No recorded activity', 'Other Travel/ No recorded activity', 'Other Travel/ No recorded activity', 'Other Travel/ No recorded activity']"
73,"['Other Travel/ No recorded activity', 'Travel to/from work', 'Child/adult care travel']"
74,"['Travel to/from work', 'Other Travel/ No recorded activity', 'Other Travel/ No recorded activity']"
75,"['Other Travel/ No recorded activity', 'Child/adult care travel']"
76,"['Other Travel/ No recorded activity', 'Other Travel/ No recorded activity']"
78,"['Shop, person/hhld care travel', 'Shop, person/hhld care travel', 'Shop, person/hhld care travel', 'Other Travel/ No recorded activity', 'Other Travel/ No recorded activity']"
79,"['Shop, person/hhld care travel', 'Other Travel/ No recorded activity', 'Other Travel/ No recorded activity']"
80,"['Other Travel/ No recorded activity', 'Other Travel/ No recorded activity']"
81,"['Shop, person/hhld care travel', 'Other Travel/ No recorded activity']"
82,"['Other Travel/ No recorded activity', 'Other Travel/ No recorded activity', 'Other Travel/ No recorded activity']"
83,"['Child/adult care travel', 'Child/adult care travel', 'Child/adult care travel']"
84,['Child/adult care travel']
85,"['Travel to/from work', 'Travel to/from work', 'Other Travel/ No recorded activity']"
86,['Other Travel/ No recorded activity']
87,"['Travel to/from work', 'Travel to/from work']"
88,"['Travel to/from work', 'Travel to/from work']"
91,"['Other Travel/ No recorded activity', 'Other Travel/ No recorded activity']"
97,"['Shop, person/hhld care travel', 'Shop, person/hhld care travel']"
98,"['Other Travel/ No recorded activity', 'Child/adult care travel', 'Other Travel/ No recorded activity', 'Other Travel/ No recorded activity', 'Other Travel/ No recorded activity', 'Child/adult care travel', 'Other Travel/ No recorded activity']"
100,"['Other Travel/ No recorded activity', 'Other Travel/ No recorded activity', 'Other Travel/ No recorded activity', 'Other Travel/ No recorded activity', 'Child/adult care travel', 'Other Travel/ No recorded activity']"
102,['Other Travel/ No recorded activity']
103,"['Travel to/from work', 'Travel to/from work']"
104,['Other Travel/ No recorded activity']
105,"['Other Travel/ No recorded activity', 'Travel to/from work', 'Travel to/from work', 'Travel to/from work', 'Travel to/from work', 'Other Travel/ No recorded activity']"
106,"['Other Travel/ No recorded activity', 'Other Travel/ No recorded activity']"
107,"['Travel to/from work', 'Travel to/from work', 'Travel to/from work']"
108,"['Other Travel/ No recorded activity', 'Other Travel/ No recorded activity']"
111,"['Travel to/from work', 'Travel to/from work']"
113,"['Education travel', 'Education travel']"
115,"['Other Travel/ No recorded activity', 'Shop, person/hhld care travel', 'Child/adult care travel', 'Child/adult care travel', 'Other Travel/ No recorded activity']"
116,"['Travel to/from work', 'Travel to/from work', 'Other Travel/ No recorded activity', 'Other Travel/ No recorded activity', 'Other Travel/ No recorded activity']"
117,"['Shop, person/hhld care travel', 'Shop, person/hhld care travel', 'Other Travel/ No recorded activity', 'Shop, person/hhld care travel', 'Other Travel/ No recorded activity']"
118,['Other Travel/ No recorded activity']
119,"['Other Travel/ No recorded activity', 'Other Travel/ No recorded activity', 'Child/adult care travel', 'Child/adult care travel']"
120,"['Other Travel/ No recorded activity', 'Shop, person/hhld care travel']"
121,['Travel to/from work']
122,"['Shop, person/hhld care travel', 'Travel to/from work', 'Travel to/from work', 'Travel to/from work', 'Travel to/from work']"
124,"['Other Travel/ No recorded activity', 'Other Travel/ No recorded activity', 'Other Travel/ No recorded activity', 'Child/adult care travel']"
126,['Travel to/from work']
127,['Other Travel/ No recorded activity']
128,"['Other Travel/ No recorded activity', 'Other Travel/ No recorded activity', 'Other Travel/ No recorded activity']"
129,"['Travel to/from work', 'Travel to/from work', 'Shop, person/hhld care travel', 'Shop, person/hhld care travel']"
130,"['Other Travel/ No recorded activity', 'Other Travel/ No recorded activity', 'Other Travel/ No recorded activity', 'Other Travel/ No recorded activity', 'Other Travel/ No recorded activity', 'Shop, person/hhld care travel', 'Shop, person/hhld care travel']"
131,['Other Travel/ No recorded activity']
132,"['Travel to/from work', 'Travel to/from work']"
133,['Other Travel/ No recorded activity']
135,"['Other Travel/ No recorded activity', 'Shop, person/hhld care travel']"
137,"['Shop, person/hhld care travel']"
138,"['Travel to/from work', 'Travel to/from work']"
142,"['Child/adult care travel', 'Other Travel/ No recorded activity', 'Other Travel/ No recorded activity', 'Child/adult care travel', 'Child/adult care travel', 'Other Travel/ No recorded activity', 'Other Travel/ No recorded activity', 'Other Travel/ No recorded activity', 'Child/adult care travel', 'Other Travel/ No recorded activity']"
144,"['Other Travel/ No recorded activity', 'Other Travel/ No recorded activity']"
145,"['Travel to/from work', 'Travel to/from work']"
146,"['Child/adult care travel', 'Other Travel/ No recorded activity', 'Child/adult care travel']"
147,"['Shop, person/hhld care travel', 'Shop, person/hhld care travel']"
148,"['Shop, person/hhld care travel', 'Shop, person/hhld care travel']"
149,"['Travel to/from work', 'Travel to/from work', 'Other Travel/ No recorded activity', 'Travel to/from work']"
150,['Other Travel/ No recorded activity']
152,"['Shop, person/hhld care travel', 'Shop, person/hhld care travel', 'Other Travel/ No recorded activity', 'Other Travel/ No recorded activity']"
154,"['Shop, person/hhld care travel', 'Shop, person/hhld care travel']"
155,"['Travel to/from work', 'Other Travel/ No recorded activity', 'Travel to/from work', 'Travel to/from work']"
156,"['Shop, person/hhld care travel', 'Shop, person/hhld care travel', 'Shop, person/hhld care travel', 'Other Travel/ No recorded activity', 'Shop, person/hhld care travel', 'Other Travel/ No recorded activity', 'Other Travel/ No recorded activity']"
157,"['Other Travel/ No recorded activity', 'Shop, person/hhld care travel', 'Travel to/from work']"
158,['Travel to/from work']
159,"['Travel to/from work', 'Travel to/from work', 'Travel to/from work', 'Other Travel/ No recorded activity']"
160,"['Child/adult care travel', 'Other Travel/ No recorded activity']"
161,"['Other Travel/ No recorded activity', 'Other Travel/ No recorded activity', 'Other Travel/ No recorded activity', 'Other Travel/ No recorded activity', 'Other Travel/ No recorded activity']"
162,['Other Travel/ No recorded activity']
163,"['Other Travel/ No recorded activity', 'Other Travel/ No recorded activity', 'Other Travel/ No recorded activity', 'Other Travel/ No recorded activity', 'Other Travel/ No recorded activity']"
164,['Other Travel/ No recorded activity']
165,"['Travel to/from work', 'Travel to/from work', 'Child/adult care travel', 'Other Travel/ No recorded activity']"
166,"['Travel to/from work', 'Travel to/from work', 'Other Travel/ No recorded activity', 'Other Travel/ No recorded activity']"
