1,"['Travel to/from work', 'Travel to/from work']"
3,['Travel to/from work']
4,['Travel to/from work']
5,"['Travel to/from work', 'Travel to/from work']"
7,"['Education travel', 'Education travel']"
8,"['Travel to/from work', 'Travel to/from work']"
9,['Education travel']
10,['Travel to/from work']
11,"['Child/adult care travel', 'Travel to/from work', 'Child/adult care travel']"
12,['Child/adult care travel']
14,"['Travel to/from work', 'Travel to/from work', 'Other Travel/ No recorded activity', 'Other Travel/ No recorded activity']"
15,"['Other Travel/ No recorded activity', 'Other Travel/ No recorded activity']"
16,['Other Travel/ No recorded activity']
17,"['Education travel', 'Education travel']"
18,"['Education travel', 'Education travel', 'Education travel', 'Education travel']"
19,['Education travel']
20,"['Travel to/from work', 'Travel to/from work']"
21,"['Travel to/from work', 'Travel to/from work']"
23,"['Travel to/from work', 'Travel to/from work', 'Other Travel/ No recorded activity', 'Other Travel/ No recorded activity']"
27,"['Travel to/from work', 'Travel to/from work', 'Other Travel/ No recorded activity']"
28,"['Travel to/from work', 'Travel to/from work']"
30,"['Travel to/from work', 'Travel to/from work']"
31,"['Other Travel/ No recorded activity', 'Other Travel/ No recorded activity', 'Other Travel/ No recorded activity', 'Other Travel/ No recorded activity']"
32,"['Travel to/from work', 'Travel to/from work', 'Other Travel/ No recorded activity']"
33,"['Travel to/from work', 'Travel to/from work']"
34,"['Voluntary/civic/religious travel', 'Voluntary/civic/religious travel']"
35,"['Travel to/from work', 'Travel to/from work']"
36,"['Travel to/from work', 'Travel to/from work', 'Travel to/from work']"
38,['Other Travel/ No recorded activity']
39,"['Education travel', 'Education travel']"
40,"['Travel to/from work', 'Travel to/from work']"
41,"['Travel to/from work', 'Travel to/from work']"
42,"['Other Travel/ No recorded activity', 'Other Travel/ No recorded activity']"
43,"['Travel to/from work', 'Travel to/from work']"
44,"['Child/adult care travel', 'Child/adult care travel']"
45,"['Travel to/from work', 'Travel to/from work']"
46,"['Travel to/from work', 'Travel to/from work']"
47,"['Travel to/from work', 'Travel to/from work']"
48,"['Travel to/from work', 'Travel to/from work']"
50,"['Education travel', 'Education travel', 'Other Travel/ No recorded activity', 'Other Travel/ No recorded activity']"
51,"['Shop, person/hhld care travel', 'Other Travel/ No recorded activity', 'Other Travel/ No recorded activity', 'Other Travel/ No recorded activity']"
52,"['Other Travel/ No recorded activity', 'Other Travel/ No recorded activity']"
53,"['Shop, person/hhld care travel', 'Shop, person/hhld care travel', 'Other Travel/ No recorded activity', 'Other Travel/ No recorded activity']"
54,"['Travel to/from work', 'Travel to/from work', 'Other Travel/ No recorded activity', 'Other Travel/ No recorded activity']"
56,"['Education travel', 'Education travel']"
57,"['Other Travel/ No recorded activity', 'Other Travel/ No recorded activity']"
59,"['Shop, person/hhld care travel', 'Shop, person/hhld care travel']"
60,"['Other Travel/ No recorded activity', 'Other Travel/ No recorded activity']"
61,"['Travel to/from work', 'Travel to/from work', 'Other Travel/ No recorded activity', 'Other Travel/ No recorded activity']"
62,"['Other Travel/ No recorded activity', 'Other Travel/ No recorded activity', 'Other Travel/ No recorded activity']"
64,"['Other Travel/ No recorded activity', 'Other Travel/ No recorded activity']"
67,"['Child/adult care travel', 'Travel to/from work', 'Travel to/from work', 'Travel to/from work']"
68,"['Education travel', 'Education travel', 'Education travel', 'Travel to/from work']"
70,"['Travel to/from work', 'Travel to/from work']"
71,"['Travel to/from work', 'Travel to/from work']"
72,"['Travel to/from work', 'Travel to/from work']"
73,"['Travel to/from work', 'Travel to/from work']"
74,"['Travel to/from work', 'Travel to/from work']"
75,"['Travel to/from work', 'Travel to/from work']"
76,"['Travel to/from work', 'Travel to/from work']"
77,"['Travel to/from work', 'Travel to/from work']"
78,"['Travel to/from work', 'Travel to/from work']"
79,"['Travel to/from work', 'Travel to/from work']"
80,"['Travel to/from work', 'Travel to/from work']"
82,"['Travel to/from work', 'Travel to/from work']"
83,['Other Travel/ No recorded activity']
84,"['Travel to/from work', 'Travel to/from work']"
85,"['Child/adult care travel', 'Education travel', 'Education travel']"
87,"['Education travel', 'Education travel']"
88,"['Voluntary/civic/religious travel', 'Voluntary/civic/religious travel']"
89,"['Other Travel/ No recorded activity', 'Other Travel/ No recorded activity', 'Other Travel/ No recorded activity']"
92,"['Travel to/from work', 'Travel to/from work']"
93,"['Education travel', 'Education travel']"
95,"['Other Travel/ No recorded activity', 'Travel to/from work', 'Child/adult care travel']"
96,"['Other Travel/ No recorded activity', 'Other Travel/ No recorded activity', 'Other Travel/ No recorded activity']"
97,"['Education travel', 'Education travel', 'Other Travel/ No recorded activity']"
99,"['Travel to/from work', 'Travel to/from work']"
100,"['Travel to/from work', 'Travel to/from work', 'Voluntary/civic/religious travel', 'Voluntary/civic/religious travel']"
101,"['Other Travel/ No recorded activity', 'Other Travel/ No recorded activity']"
102,"['Other Travel/ No recorded activity', 'Other Travel/ No recorded activity', 'Other Travel/ No recorded activity', 'Other Travel/ No recorded activity']"
103,"['Travel to/from work', 'Travel to/from work', 'Travel to/from work', 'Travel to/from work']"
104,"['Travel to/from work', 'Travel to/from work']"
105,"['Other Travel/ No recorded activity', 'Other Travel/ No recorded activity']"
106,"['Other Travel/ No recorded activity', 'Other Travel/ No recorded activity']"
108,"['Other Travel/ No recorded activity', 'Travel to/from work', 'Travel to/from work']"
109,"['Other Travel/ No recorded activity', 'Other Travel/ No recorded activity']"
110,"['Shop, person/hhld care travel']"
111,"['Shop, person/hhld care travel', 'Other Travel/ No recorded activity']"
112,"['Shop, person/hhld care travel', 'Shop, person/hhld care travel', 'Other Travel/ No recorded activity', 'Other Travel/ No recorded activity']"
116,"['Travel to/from work', 'Travel to/from work']"
119,"['Education travel', 'Education travel']"
120,['Travel to/from work']
121,"['Travel to/from work', 'Travel to/from work']"
122,"['Travel to/from work', 'Travel to/from work']"
123,"['Travel to/from work', 'Travel to/from work']"
124,"['Travel to/from work', 'Travel to/from work', 'Other Travel/ No recorded activity', 'Other Travel/ No recorded activity']"
125,"['Travel to/from work', 'Travel to/from work']"
126,"['Education travel', 'Education travel']"
127,"['Shop, person/hhld care travel', 'Shop, person/hhld care travel']"
128,"['Travel to/from work', 'Travel to/from work', 'Other Travel/ No recorded activity', 'Other Travel/ No recorded activity']"
130,"['Other Travel/ No recorded activity', 'Child/adult care travel', 'Travel to/from work', 'Travel to/from work']"
131,"['Travel to/from work', 'Travel to/from work']"
132,"['Travel to/from work', 'Travel to/from work']"
135,"['Child/adult care travel', 'Travel to/from work', 'Travel to/from work', 'Shop, person/hhld care travel', 'Shop, person/hhld care travel', 'Other Travel/ No recorded activity', 'Other Travel/ No recorded activity']"
136,"['Education travel', 'Education travel', 'Other Travel/ No recorded activity', 'Other Travel/ No recorded activity']"
138,"['Shop, person/hhld care travel', 'Shop, person/hhld care travel']"
139,"['Other Travel/ No recorded activity', 'Other Travel/ No recorded activity']"
140,"['Travel to/from work', 'Travel to/from work']"
142,"['Travel to/from work', 'Travel to/from work']"
143,"['Travel to/from work', 'Travel to/from work', 'Travel to/from work', 'Travel to/from work']"
144,"['Education travel', 'Education travel']"
145,"['Travel to/from work', 'Other Travel/ No recorded activity', 'Travel to/from work', 'Travel to/from work']"
148,"['Travel to/from work', 'Travel to/from work', 'Other Travel/ No recorded activity', 'Other Travel/ No recorded activity']"
149,"['Travel to/from work', 'Travel to/from work', 'Other Travel/ No recorded activity', 'Other Travel/ No recorded activity']"
150,"['Other Travel/ No recorded activity', 'Other Travel/ No recorded activity', 'Other Travel/ No recorded activity', 'Other Travel/ No recorded activity', 'Other Travel/ No recorded activity', 'Other Travel/ No recorded activity']"
151,"['Other Travel/ No recorded activity', 'Other Travel/ No recorded activity', 'Shop, person/hhld care travel', 'Other Travel/ No recorded activity', 'Other Travel/ No recorded activity', 'Voluntary/civic/religious travel', 'Voluntary/civic/religious travel']"
152,"['Education travel', 'Education travel', 'Other Travel/ No recorded activity', 'Other Travel/ No recorded activity']"
153,"['Travel to/from work', 'Travel to/from work']"
154,"['Education travel', 'Education travel', 'Other Travel/ No recorded activity', 'Other Travel/ No recorded activity']"
155,"['Travel to/from work', 'Travel to/from work']"
156,"['Travel to/from work', 'Travel to/from work']"
157,"['Travel to/from work', 'Shop, person/hhld care travel', 'Other Travel/ No recorded activity', 'Travel to/from work']"
158,"['Travel to/from work', 'Travel to/from work']"
